table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Oregon: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,"4,237,224","4,243,779","4,254,280","4,247,372","4,253,653","4,272,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Baker County, Oregon","16,669","16,731","16,884","16,933","16,904","16,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Benton County, Oregon","95,186","93,615","93,031","97,406","98,566","98,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Clackamas County, Oregon","421,428","422,512","423,892","423,217","424,396","425,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Clatsop County, Oregon","41,067","41,157","41,930","41,595","41,089","41,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Columbia County, Oregon","52,592","52,716","53,177","53,589","53,918","54,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Coos County, Oregon","64,926","64,976","65,143","65,135","64,557","64,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Crook County, Oregon","24,739","24,930","25,767","26,393","26,960","27,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Curry County, Oregon","23,448","23,518","23,724","23,614","23,273","22,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Deschutes County, Oregon","198,253","199,470","205,318","206,491","208,857","211,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Douglas County, Oregon","111,200","111,292","112,153","112,226","112,435","112,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Gilliam County, Oregon","1,994","2,015","2,011","2,012","2,035","1,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Grant County, Oregon","7,225","7,233","7,284","7,221","7,216","7,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Harney County, Oregon","7,501","7,504","7,601","7,537","7,451","7,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Hood River County, Oregon","23,981","23,897","24,025","24,028","23,811","23,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Jackson County, Oregon","223,263","223,755","224,649","222,153","221,338","221,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Jefferson County, Oregon","24,503","24,578","25,100","25,319","25,480","25,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Josephine County, Oregon","88,088","88,228","88,599","87,786","88,001","88,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Klamath County, Oregon","69,412","69,631","70,415","70,404","70,347","70,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Lake County, Oregon","8,164","8,174","8,294","8,365","8,307","8,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Lane County, Oregon","382,974","384,221","386,082","386,187","382,151","382,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Lincoln County, Oregon","50,402","50,517","51,028","50,756","51,307","51,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Linn County, Oregon","128,609","128,967","130,062","130,516","131,509","132,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Malheur County, Oregon","31,569","31,643","31,682","31,868","32,262","32,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Marion County, Oregon","345,905","346,305","347,784","349,388","349,874","352,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Morrow County, Oregon","12,184","12,220","12,359","12,257","12,303","12,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Multnomah County, Oregon","815,398","816,321","804,934","795,960","794,271","795,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Polk County, Oregon","87,430","88,003","89,480","89,986","90,290","90,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Sherman County, Oregon","1,866","1,873","1,909","1,953","1,954","2,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Tillamook County, Oregon","27,386","27,462","27,814","27,516","27,423","27,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Umatilla County, Oregon","80,078","79,893","79,713","79,732","79,872","80,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Union County, Oregon","26,195","26,168","26,287","26,167","26,038","26,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Wallowa County, Oregon","7,386","7,400","7,553","7,647","7,643","7,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Wasco County, Oregon","26,667","26,610","26,707","26,535","26,402","26,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Washington County, Oregon","600,372","601,045","602,356","600,229","604,831","611,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Wheeler County, Oregon","1,448","1,459","1,452","1,434","1,436","1,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Yamhill County, Oregon","107,716","107,740","108,081","107,817","109,146","110,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0078).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: The estimates are developed from a base that integrates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates.  For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2024 population estimates series are as of January 1, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Oregon: April 1, 2020 to July 1, 2024 (CO-EST2024-POP-41)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date: March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
