table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Washington: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,"7,707,586","7,727,209","7,743,760","7,794,123","7,857,320","7,958,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Adams County, Washington","20,610","20,609","20,653","20,843","20,857","21,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Asotin County, Washington","22,288","22,328","22,476","22,497","22,510","22,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Benton County, Washington","206,869","207,426","210,627","212,838","215,445","218,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Chelan County, Washington","79,144","79,307","79,854","80,032","80,439","81,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Clallam County, Washington","77,159","77,365","78,476","77,675","77,589","77,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Clark County, Washington","503,308","505,363","512,662","517,036","522,467","527,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Columbia County, Washington","3,954","3,953","4,019","4,018","4,055","4,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Cowlitz County, Washington","110,736","111,021","111,701","112,058","113,040","113,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Douglas County, Washington","42,933","43,032","43,847","44,147","45,010","45,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Ferry County, Washington","7,179","7,197","7,290","7,435","7,472","7,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Franklin County, Washington","96,747","97,152","98,107","98,461","99,554","101,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Garfield County, Washington","2,287","2,297","2,348","2,355","2,360","2,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Grant County, Washington","99,125","99,445","100,437","101,308","103,088","104,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Grays Harbor County, Washington","75,639","75,863","76,859","77,080","77,570","77,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Island County, Washington","86,859","87,007","87,581","86,744","86,369","86,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Jefferson County, Washington","32,970","33,061","33,558","33,597","33,725","33,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".King County, Washington","2,269,666","2,274,349","2,253,242","2,271,238","2,296,813","2,340,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Kitsap County, Washington","275,618","275,832","276,629","277,876","277,650","281,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Kittitas County, Washington","46,535","46,823","45,653","47,368","47,845","48,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Klickitat County, Washington","22,735","22,820","23,177","23,248","23,688","24,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Lewis County, Washington","82,151","82,562","84,590","85,307","86,264","87,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Lincoln County, Washington","10,878","10,927","11,285","11,609","11,760","11,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Mason County, Washington","65,718","66,033","67,255","68,238","68,754","69,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
